iter	Passed	Remaining
554	20697	16595
555	20731	16555
556	20765	16515
557	20800	16476
558	20834	16436
559	20870	16398
560	20906	16360
561	20944	16323
562	20981	16285
563	21015	16245
564	21052	16208
565	21089	16171
566	21126	16133
567	21163	16095
568	21200	16059
569	21236	16020
570	21271	15981
571	21305	15942
572	21340	15902
573	21377	15865
574	21418	15831
575	21452	15791
576	21493	15756
577	21529	15718
578	21565	15680
579	21602	15643
580	21638	15605
581	21672	15565
582	21707	15526
583	21743	15488
584	21779	15450
585	21818	15414
586	21852	15374
587	21887	15336
588	21922	15297
589	21958	15259
590	21994	15220
591	22030	15183
592	22065	15144
593	22103	15107
594	22139	15069
595	22174	15030
596	22210	14992
597	22247	14955
598	22281	14916
599	22317	14878
600	22353	14840
601	22388	14801
602	22422	14762
603	22463	14728
604	22501	14691
605	22538	14654
606	22575	14616
607	22615	14581
608	22650	14542
609	22684	14503
610	22722	14466
611	22759	14428
612	22793	14390
613	22829	14351
614	22866	14314
615	22902	14276
616	22936	14237
617	22969	14198
618	23052	14188
619	23110	14164
620	23148	14127
621	23184	14089
622	23225	14054
623	23264	14018
624	23306	13983
625	23344	13947
626	23380	13908
627	23455	13894
628	23494	13857
629	23532	13820
630	23570	13783
631	23611	13748
632	23648	13710
633	23714	13689
634	23755	13654
635	23792	13616
636	23828	13579
637	23863	13540
638	23899	13501
639	23933	13462
640	23969	13424
641	24008	13387
642	24045	13350
643	24080	13311
644	24114	13272
645	24150	13234
646	24188	13196
647	24226	13160
648	24259	13120
649	24293	13081
650	24332	13044
651	24367	13005
652	24402	12967
653	24438	12929
654	24474	12890
655	24510	12853
656	24547	12815
657	24583	12777
658	24619	12739
659	24656	12701
660	24693	12664
661	24726	12624
662	24760	12585
663	24794	12546
664	24832	12509
665	24868	12471
666	24906	12434
667	24941	12395
668	24975	12357
669	25010	12318
670	25044	12279
671	25080	12241
672	25115	12203
673	25151	12165
674	25185	12126
675	25220	12087
676	25257	12050
677	25293	12012
678	25327	11973
679	25372	11939
680	25410	11903
681	25451	11867
682	25489	11830
683	25526	11793
684	25560	11754
685	25595	11715
686	25631	11677
687	25670	11641
688	25705	11602
689	25740	11564
690	25775	11526
691	25810	11488
692	25847	11450
693	25883	11412
694	25921	11375
695	25956	11337
696	25998	11302
697	26035	11264
698	26071	11226
699	26109	11189
700	26145	11152
701	26182	11114
702	26219	11076
703	26253	11038
704	26289	11000
705	26333	10966
706	26372	10929
