iter	Passed	Remaining
910	52594	34004
911	52654	33948
912	52707	33887
913	52761	33827
914	52814	33766
915	52868	33706
916	52922	33646
917	52983	33591
918	53039	33531
919	53094	33472
920	53148	33412
921	53206	33354
922	53263	33297
923	53317	33236
924	53373	33178
925	53432	33121
926	53485	33060
927	53540	33001
928	53605	32947
929	53660	32888
930	53719	32831
931	53773	32772
932	53834	32715
933	53896	32661
934	53960	32607
935	54021	32551
936	54080	32494
937	54134	32434
938	54193	32377
939	54247	32317
940	54304	32259
941	54358	32199
942	54415	32141
943	54474	32084
944	54531	32026
945	54590	31969
946	54645	31910
947	54701	31851
948	54758	31793
949	54814	31734
950	54868	31675
951	54924	31616
952	54980	31557
953	55034	31497
954	55092	31440
955	55147	31381
956	55207	31324
957	55265	31267
958	55321	31208
959	55374	31148
960	55433	31091
961	55488	31031
962	55540	30971
963	55596	30912
964	55653	30854
965	55717	30800
966	55772	30740
967	55824	30680
968	55876	30619
969	55930	30559
970	55983	30499
971	56036	30439
972	56095	30382
973	56149	30323
974	56205	30264
975	56280	30216
976	56350	30164
977	56404	30105
978	56460	30047
979	56515	29987
980	56571	29929
981	56629	29871
982	56680	29810
983	56735	29751
984	56791	29692
985	56846	29633
986	56901	29575
987	56959	29517
988	57013	29458
989	57070	29399
990	57124	29340
991	57177	29280
992	57230	29220
993	57291	29164
994	57346	29105
995	57402	29047
996	57455	28987
997	57509	28927
998	57574	28873
999	57635	28817
1000	57692	28759
1001	57765	28709
1002	57820	28650
1003	57873	28591
1004	57930	28532
1005	57985	28473
1006	58046	28418
1007	58103	28359
1008	58165	28304
1009	58220	28245
1010	58284	28190
1011	58341	28132
1012	58404	28078
1013	58458	28018
1014	58512	27959
1015	58570	27901
1016	58624	27842
1017	58678	27783
1018	58733	27723
1019	58788	27665
1020	58840	27605
1021	58893	27545
1022	58950	27486
1023	59003	27427
1024	59060	27369
1025	59114	27310
1026	59171	27252
1027	59226	27193
1028	59282	27135
1029	59341	27078
1030	59398	27020
1031	59457	26963
1032	59524	26909
1033	59592	26857
1034	59648	26798
1035	59702	26739
1036	59757	26680
1037	59814	26622
1038	59867	26562
1039	59921	26503
1040	59976	26444
1041	60031	26386
1042	60089	26328
1043	60150	26272
1044	60202	26212
1045	60257	26153
1046	60321	26098
1047	60375	26039
1048	60432	25981
1049	60493	25925
1050	60550	25867
1051	60614	25812
1052	60673	25755
1053	60728	25697
1054	60793	25642
1055	60847	25583
1056	60899	25523
1057	60954	25464
1058	61008	25405
1059	61096	25360
1060	61155	25303
1061	61207	25243
1062	61264	25185
1063	61319	25127
1064	61375	25069
1065	61441	25014
1066	61494	24955
1067	61551	24897
1068	61606	24838
